county,municipality,office,district,party,candidate,votes
Burlington,Maple Shade Twp,U.S. House,1,Democratic,Donald W. Norcross,1889
Burlington,Maple Shade Twp,U.S. House,1,Republican,Garry W. Cobb,1403
Burlington,Maple Shade Twp,U.S. House,1,We Deserve Better,Scot John Tomaszewski,31
Burlington,Maple Shade Twp,U.S. House,1,Stop Boss Politics,Robert Shapiro,29
Burlington,Maple Shade Twp,U.S. House,1,D-R Party,Donald E. Letton,6
Burlington,Palmyra Boro,U.S. House,1,Democratic,Donald W. Norcross,1113
Burlington,Palmyra Boro,U.S. House,1,Republican,Garry W. Cobb,822
Burlington,Palmyra Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,15
Burlington,Palmyra Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,18
Burlington,Palmyra Boro,U.S. House,1,D-R Party,Donald E. Letton,4
Camden,Audubon Boro,U.S. House,1,Democratic,Donald W. Norcross,1143
Camden,Audubon Boro,U.S. House,1,Republican,Garry W. Cobb,985
Camden,Audubon Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,40
Camden,Audubon Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,32
Camden,Audubon Boro,U.S. House,1,D-R Party,Donald E. Letton,9
Camden,Audubon Park Boro,U.S. House,1,Democratic,Donald W. Norcross,201
Camden,Audubon Park Boro,U.S. House,1,Republican,Garry W. Cobb,87
Camden,Audubon Park Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,7
Camden,Audubon Park Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,4
Camden,Audubon Park Boro,U.S. House,1,D-R Party,Donald E. Letton,1
Camden,Barrington Boro,U.S. House,1,Democratic,Donald W. Norcross,856
Camden,Barrington Boro,U.S. House,1,Republican,Garry W. Cobb,772
Camden,Barrington Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,22
Camden,Barrington Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,25
Camden,Barrington Boro,U.S. House,1,D-R Party,Donald E. Letton,6
Camden,Bellmawr Boro,U.S. House,1,Democratic,Donald W. Norcross,1743
Camden,Bellmawr Boro,U.S. House,1,Republican,Garry W. Cobb,1111
Camden,Bellmawr Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,71
Camden,Bellmawr Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,45
Camden,Bellmawr Boro,U.S. House,1,D-R Party,Donald E. Letton,31
Camden,Berlin Boro,U.S. House,1,Democratic,Donald W. Norcross,817
Camden,Berlin Boro,U.S. House,1,Republican,Garry W. Cobb,1056
Camden,Berlin Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,26
Camden,Berlin Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,26
Camden,Berlin Boro,U.S. House,1,D-R Party,Donald E. Letton,9
Camden,Berlin Twp.,U.S. House,1,Democratic,Donald W. Norcross,630
Camden,Berlin Twp.,U.S. House,1,Republican,Garry W. Cobb,437
Camden,Berlin Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,11
Camden,Berlin Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,4
Camden,Berlin Twp.,U.S. House,1,D-R Party,Donald E. Letton,7
Camden,Brooklawn Boro,U.S. House,1,Democratic,Donald W. Norcross,307
Camden,Brooklawn Boro,U.S. House,1,Republican,Garry W. Cobb,165
Camden,Brooklawn Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,3
Camden,Brooklawn Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,2
Camden,Brooklawn Boro,U.S. House,1,D-R Party,Donald E. Letton,4
Camden,Camden City,U.S. House,1,Democratic,Donald W. Norcross,7102
Camden,Camden City,U.S. House,1,Republican,Garry W. Cobb,859
Camden,Camden City,U.S. House,1,We Deserve Better,Scot John Tomaszewski,90
Camden,Camden City,U.S. House,1,Stop Boss Politics,Robert Shapiro,102
Camden,Camden City,U.S. House,1,D-R Party,Donald E. Letton,157
Camden,Cherry Hill Twp.,U.S. House,1,Democratic,Donald W. Norcross,10019
Camden,Cherry Hill Twp.,U.S. House,1,Republican,Garry W. Cobb,7733
Camden,Cherry Hill Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,269
Camden,Cherry Hill Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,223
Camden,Cherry Hill Twp.,U.S. House,1,D-R Party,Donald E. Letton,59
Camden,Chesilhurst Boro,U.S. House,1,Democratic,Donald W. Norcross,290
Camden,Chesilhurst Boro,U.S. House,1,Republican,Garry W. Cobb,80
Camden,Chesilhurst Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,1
Camden,Chesilhurst Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,1
Camden,Chesilhurst Boro,U.S. House,1,D-R Party,Donald E. Letton,2
Camden,Clementon Boro,U.S. House,1,Democratic,Donald W. Norcross,641
Camden,Clementon Boro,U.S. House,1,Republican,Garry W. Cobb,373
Camden,Clementon Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,10
Camden,Clementon Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,7
Camden,Clementon Boro,U.S. House,1,D-R Party,Donald E. Letton,5
Camden,Collingswood Boro,U.S. House,1,Democratic,Donald W. Norcross,2390
Camden,Collingswood Boro,U.S. House,1,Republican,Garry W. Cobb,1189
Camden,Collingswood Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,117
Camden,Collingswood Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,78
Camden,Collingswood Boro,U.S. House,1,D-R Party,Donald E. Letton,22
Camden,Gibbsboro Boro,U.S. House,1,Democratic,Donald W. Norcross,313
Camden,Gibbsboro Boro,U.S. House,1,Republican,Garry W. Cobb,294
Camden,Gibbsboro Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,7
Camden,Gibbsboro Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,6
Camden,Gibbsboro Boro,U.S. House,1,D-R Party,Donald E. Letton,5
Camden,Gloucester City,U.S. House,1,Democratic,Donald W. Norcross,1319
Camden,Gloucester City,U.S. House,1,Republican,Garry W. Cobb,688
Camden,Gloucester City,U.S. House,1,We Deserve Better,Scot John Tomaszewski,32
Camden,Gloucester City,U.S. House,1,Stop Boss Politics,Robert Shapiro,17
Camden,Gloucester City,U.S. House,1,D-R Party,Donald E. Letton,9
Camden,Gloucester Twp.,U.S. House,1,Democratic,Donald W. Norcross,7280
Camden,Gloucester Twp.,U.S. House,1,Republican,Garry W. Cobb,5543
Camden,Gloucester Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,153
Camden,Gloucester Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,104
Camden,Gloucester Twp.,U.S. House,1,D-R Party,Donald E. Letton,55
Camden,Haddon Heights Boro,U.S. House,1,Democratic,Donald W. Norcross,1271
Camden,Haddon Heights Boro,U.S. House,1,Republican,Garry W. Cobb,1337
Camden,Haddon Heights Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,38
Camden,Haddon Heights Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,19
Camden,Haddon Heights Boro,U.S. House,1,D-R Party,Donald E. Letton,11
Camden,Haddon Twp.,U.S. House,1,Democratic,Donald W. Norcross,2338
Camden,Haddon Twp.,U.S. House,1,Republican,Garry W. Cobb,1928
Camden,Haddon Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,118
Camden,Haddon Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,69
Camden,Haddon Twp.,U.S. House,1,D-R Party,Donald E. Letton,16
Camden,Haddonfield Boro,U.S. House,1,Democratic,Donald W. Norcross,1979
Camden,Haddonfield Boro,U.S. House,1,Republican,Garry W. Cobb,2084
Camden,Haddonfield Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,60
Camden,Haddonfield Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,53
Camden,Haddonfield Boro,U.S. House,1,D-R Party,Donald E. Letton,20
Camden,Hi-Nella Boro,U.S. House,1,Democratic,Donald W. Norcross,81
Camden,Hi-Nella Boro,U.S. House,1,Republican,Garry W. Cobb,57
Camden,Hi-Nella Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,5
Camden,Hi-Nella Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,6
Camden,Hi-Nella Boro,U.S. House,1,D-R Party,Donald E. Letton,4
Camden,Laurel Springs Boro,U.S. House,1,Democratic,Donald W. Norcross,253
Camden,Laurel Springs Boro,U.S. House,1,Republican,Garry W. Cobb,240
Camden,Laurel Springs Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,6
Camden,Laurel Springs Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,9
Camden,Laurel Springs Boro,U.S. House,1,D-R Party,Donald E. Letton,2
Camden,Lawnside Boro,U.S. House,1,Democratic,Donald W. Norcross,859
Camden,Lawnside Boro,U.S. House,1,Republican,Garry W. Cobb,89
Camden,Lawnside Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,4
Camden,Lawnside Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,5
Camden,Lawnside Boro,U.S. House,1,D-R Party,Donald E. Letton,9
Camden,Lindenwold Boro,U.S. House,1,Democratic,Donald W. Norcross,1947
Camden,Lindenwold Boro,U.S. House,1,Republican,Garry W. Cobb,683
Camden,Lindenwold Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,22
Camden,Lindenwold Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,24
Camden,Lindenwold Boro,U.S. House,1,D-R Party,Donald E. Letton,13
Camden,Magnolia Boro,U.S. House,1,Democratic,Donald W. Norcross,650
Camden,Magnolia Boro,U.S. House,1,Republican,Garry W. Cobb,346
Camden,Magnolia Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,10
Camden,Magnolia Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,10
Camden,Magnolia Boro,U.S. House,1,D-R Party,Donald E. Letton,6
Camden,Merchantville Boro,U.S. House,1,Democratic,Donald W. Norcross,567
Camden,Merchantville Boro,U.S. House,1,Republican,Garry W. Cobb,413
Camden,Merchantville Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,28
Camden,Merchantville Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,10
Camden,Merchantville Boro,U.S. House,1,D-R Party,Donald E. Letton,5
Camden,Mt. Ephraim Boro,U.S. House,1,Democratic,Donald W. Norcross,569
Camden,Mt. Ephraim Boro,U.S. House,1,Republican,Garry W. Cobb,418
Camden,Mt. Ephraim Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,20
Camden,Mt. Ephraim Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,9
Camden,Mt. Ephraim Boro,U.S. House,1,D-R Party,Donald E. Letton,2
Camden,Oaklyn Boro,U.S. House,1,Democratic,Donald W. Norcross,547
Camden,Oaklyn Boro,U.S. House,1,Republican,Garry W. Cobb,404
Camden,Oaklyn Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,29
Camden,Oaklyn Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,13
Camden,Oaklyn Boro,U.S. House,1,D-R Party,Donald E. Letton,8
Camden,Pennsauken Twp,U.S. House,1,Democratic,Donald W. Norcross,5083
Camden,Pennsauken Twp,U.S. House,1,Republican,Garry W. Cobb,2003
Camden,Pennsauken Twp,U.S. House,1,We Deserve Better,Scot John Tomaszewski,115
Camden,Pennsauken Twp,U.S. House,1,Stop Boss Politics,Robert Shapiro,77
Camden,Pennsauken Twp,U.S. House,1,D-R Party,Donald E. Letton,60
Camden,Pine Hill Boro,U.S. House,1,Democratic,Donald W. Norcross,1272
Camden,Pine Hill Boro,U.S. House,1,Republican,Garry W. Cobb,537
Camden,Pine Hill Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,23
Camden,Pine Hill Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,15
Camden,Pine Hill Boro,U.S. House,1,D-R Party,Donald E. Letton,16
Camden,Pine Valley Boro,U.S. House,1,Democratic,Donald W. Norcross,2
Camden,Pine Valley Boro,U.S. House,1,Republican,Garry W. Cobb,9
Camden,Pine Valley Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,0
Camden,Pine Valley Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,0
Camden,Pine Valley Boro,U.S. House,1,D-R Party,Donald E. Letton,0
Camden,Runnemede Boro,U.S. House,1,Democratic,Donald W. Norcross,937
Camden,Runnemede Boro,U.S. House,1,Republican,Garry W. Cobb,631
Camden,Runnemede Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,25
Camden,Runnemede Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,12
Camden,Runnemede Boro,U.S. House,1,D-R Party,Donald E. Letton,9
Camden,Somerdale Boro,U.S. House,1,Democratic,Donald W. Norcross,800
Camden,Somerdale Boro,U.S. House,1,Republican,Garry W. Cobb,378
Camden,Somerdale Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,21
Camden,Somerdale Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,16
Camden,Somerdale Boro,U.S. House,1,D-R Party,Donald E. Letton,5
Camden,Stratford Boro,U.S. House,1,Democratic,Donald W. Norcross,901
Camden,Stratford Boro,U.S. House,1,Republican,Garry W. Cobb,865
Camden,Stratford Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,10
Camden,Stratford Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,8
Camden,Stratford Boro,U.S. House,1,D-R Party,Donald E. Letton,6
Camden,Tavistok Boro,U.S. House,1,Democratic,Donald W. Norcross,2
Camden,Tavistok Boro,U.S. House,1,Republican,Garry W. Cobb,3
Camden,Tavistok Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,0
Camden,Tavistok Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,0
Camden,Tavistok Boro,U.S. House,1,D-R Party,Donald E. Letton,0
Camden,Voorhees Twp.,U.S. House,1,Democratic,Donald W. Norcross,4018
Camden,Voorhees Twp.,U.S. House,1,Republican,Garry W. Cobb,3494
Camden,Voorhees Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,64
Camden,Voorhees Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,70
Camden,Voorhees Twp.,U.S. House,1,D-R Party,Donald E. Letton,11
Camden,Winslow Twp.,U.S. House,1,Democratic,Donald W. Norcross,5575
Camden,Winslow Twp.,U.S. House,1,Republican,Garry W. Cobb,2737
Camden,Winslow Twp.,U.S. House,1,We Deserve Better,Scot John Tomaszewski,86
Camden,Winslow Twp.,U.S. House,1,Stop Boss Politics,Robert Shapiro,61
Camden,Winslow Twp.,U.S. House,1,D-R Party,Donald E. Letton,28
Camden,Woodlynne Boro,U.S. House,1,Democratic,Donald W. Norcross,308
Camden,Woodlynne Boro,U.S. House,1,Republican,Garry W. Cobb,69
Camden,Woodlynne Boro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,9
Camden,Woodlynne Boro,U.S. House,1,Stop Boss Politics,Robert Shapiro,9
Camden,Woodlynne Boro,U.S. House,1,D-R Party,Donald E. Letton,4
Gloucester,Deptford,U.S. House,1,Democratic,Donald W. Norcross,3697
Gloucester,Deptford,U.S. House,1,Republican,Garry W. Cobb,2465
Gloucester,Deptford,U.S. House,1,We Deserve Better,Scot John Tomaszewski,138
Gloucester,Deptford,U.S. House,1,Stop Boss Politics,Robert Shapiro,72
Gloucester,Deptford,U.S. House,1,D-R Party,Donald E. Letton,17
Gloucester,East Greenwich,U.S. House,1,Democratic,Donald W. Norcross,923
Gloucester,East Greenwich,U.S. House,1,Republican,Garry W. Cobb,1210
Gloucester,East Greenwich,U.S. House,1,We Deserve Better,Scot John Tomaszewski,29
Gloucester,East Greenwich,U.S. House,1,Stop Boss Politics,Robert Shapiro,17
Gloucester,East Greenwich,U.S. House,1,D-R Party,Donald E. Letton,4
Gloucester,Glassboro,U.S. House,1,Democratic,Donald W. Norcross,1922
Gloucester,Glassboro,U.S. House,1,Republican,Garry W. Cobb,1192
Gloucester,Glassboro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,50
Gloucester,Glassboro,U.S. House,1,Stop Boss Politics,Robert Shapiro,28
Gloucester,Glassboro,U.S. House,1,D-R Party,Donald E. Letton,14
Gloucester,Greenwich,U.S. House,1,Democratic,Donald W. Norcross,876
Gloucester,Greenwich,U.S. House,1,Republican,Garry W. Cobb,738
Gloucester,Greenwich,U.S. House,1,We Deserve Better,Scot John Tomaszewski,43
Gloucester,Greenwich,U.S. House,1,Stop Boss Politics,Robert Shapiro,17
Gloucester,Greenwich,U.S. House,1,D-R Party,Donald E. Letton,3
Gloucester,Logan,U.S. House,1,Democratic,Donald W. Norcross,729
Gloucester,Logan,U.S. House,1,Republican,Garry W. Cobb,540
Gloucester,Logan,U.S. House,1,We Deserve Better,Scot John Tomaszewski,33
Gloucester,Logan,U.S. House,1,Stop Boss Politics,Robert Shapiro,12
Gloucester,Logan,U.S. House,1,D-R Party,Donald E. Letton,4
Gloucester,Monroe,U.S. House,1,Democratic,Donald W. Norcross,4411
Gloucester,Monroe,U.S. House,1,Republican,Garry W. Cobb,3827
Gloucester,Monroe,U.S. House,1,We Deserve Better,Scot John Tomaszewski,120
Gloucester,Monroe,U.S. House,1,Stop Boss Politics,Robert Shapiro,75
Gloucester,Monroe,U.S. House,1,D-R Party,Donald E. Letton,21
Gloucester,National Park,U.S. House,1,Democratic,Donald W. Norcross,354
Gloucester,National Park,U.S. House,1,Republican,Garry W. Cobb,215
Gloucester,National Park,U.S. House,1,We Deserve Better,Scot John Tomaszewski,10
Gloucester,National Park,U.S. House,1,Stop Boss Politics,Robert Shapiro,5
Gloucester,National Park,U.S. House,1,D-R Party,Donald E. Letton,0
Gloucester,Paulsboro,U.S. House,1,Democratic,Donald W. Norcross,826
Gloucester,Paulsboro,U.S. House,1,Republican,Garry W. Cobb,239
Gloucester,Paulsboro,U.S. House,1,We Deserve Better,Scot John Tomaszewski,20
Gloucester,Paulsboro,U.S. House,1,Stop Boss Politics,Robert Shapiro,11
Gloucester,Paulsboro,U.S. House,1,D-R Party,Donald E. Letton,5
Gloucester,Washington,U.S. House,1,Democratic,Donald W. Norcross,5213
Gloucester,Washington,U.S. House,1,Republican,Garry W. Cobb,6083
Gloucester,Washington,U.S. House,1,We Deserve Better,Scot John Tomaszewski,149
Gloucester,Washington,U.S. House,1,Stop Boss Politics,Robert Shapiro,90
Gloucester,Washington,U.S. House,1,D-R Party,Donald E. Letton,16
Gloucester,Wenonah,U.S. House,1,Democratic,Donald W. Norcross,382
Gloucester,Wenonah,U.S. House,1,Republican,Garry W. Cobb,462
Gloucester,Wenonah,U.S. House,1,We Deserve Better,Scot John Tomaszewski,17
Gloucester,Wenonah,U.S. House,1,Stop Boss Politics,Robert Shapiro,18
Gloucester,Wenonah,U.S. House,1,D-R Party,Donald E. Letton,2
Gloucester,West Deptford,U.S. House,1,Democratic,Donald W. Norcross,3136
Gloucester,West Deptford,U.S. House,1,Republican,Garry W. Cobb,2695
Gloucester,West Deptford,U.S. House,1,We Deserve Better,Scot John Tomaszewski,91
Gloucester,West Deptford,U.S. House,1,Stop Boss Politics,Robert Shapiro,44
Gloucester,West Deptford,U.S. House,1,D-R Party,Donald E. Letton,18
Gloucester,Westville,U.S. House,1,Democratic,Donald W. Norcross,378
Gloucester,Westville,U.S. House,1,Republican,Garry W. Cobb,363
Gloucester,Westville,U.S. House,1,We Deserve Better,Scot John Tomaszewski,27
Gloucester,Westville,U.S. House,1,Stop Boss Politics,Robert Shapiro,10
Gloucester,Westville,U.S. House,1,D-R Party,Donald E. Letton,2
Gloucester,Woodbury,U.S. House,1,Democratic,Donald W. Norcross,1394
Gloucester,Woodbury,U.S. House,1,Republican,Garry W. Cobb,961
Gloucester,Woodbury,U.S. House,1,We Deserve Better,Scot John Tomaszewski,29
Gloucester,Woodbury,U.S. House,1,Stop Boss Politics,Robert Shapiro,24
Gloucester,Woodbury,U.S. House,1,D-R Party,Donald E. Letton,7
Gloucester,Woodbury Heights,U.S. House,1,Democratic,Donald W. Norcross,527
Gloucester,Woodbury Heights,U.S. House,1,Republican,Garry W. Cobb,415
Gloucester,Woodbury Heights,U.S. House,1,We Deserve Better,Scot John Tomaszewski,19
Gloucester,Woodbury Heights,U.S. House,1,Stop Boss Politics,Robert Shapiro,6
Gloucester,Woodbury Heights,U.S. House,1,D-R Party,Donald E. Letton,3
Gloucester,Federal Overseas,U.S. House,1,Democratic,Donald W. Norcross,6
Gloucester,Federal Overseas,U.S. House,1,Republican,Garry W. Cobb,0
Gloucester,Federal Overseas,U.S. House,1,We Deserve Better,Scot John Tomaszewski,0
Gloucester,Federal Overseas,U.S. House,1,Stop Boss Politics,Robert Shapiro,0
Gloucester,Federal Overseas,U.S. House,1,D-R Party,Donald E. Letton,0
