candidate,office,district,party,county,precinct,votes,,
,Registered Voters,,,Salem,Alloway,2446,,
,Ballots Cast,,,Salem,Alloway,1568,,
Robert Menendez,U.S. Senate,,DEM,Salem,Alloway,474,,
Bob Hugin,U.S. Senate,,REP,Salem,Alloway,1007,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Alloway,14,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Alloway,7,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Alloway,12,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Alloway,23,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Alloway,0,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Alloway,7,,
Write In,U.S. Senate,,,Salem,Alloway,2,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Alloway,598,,
Seth Grossman ,U.S. House,2,REP,Salem,Alloway,913,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Alloway,8,,
John Ordille,U.S. House,2,LIB,Salem,Alloway,17,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Alloway,3,,
William R. Benfer,U.S. House,2,Other,Salem,Alloway,4,,
Write In,U.S. House,2,,Salem,Alloway,0,,
,Registered Voters,,,Salem,Carneys Point,5348,,
,Ballots Cast,,,Salem,Carneys Point,2683,,
Robert Menendez,U.S. Senate,,DEM,Salem,Carneys Point,1235,,
Bob Hugin,U.S. Senate,,REP,Salem,Carneys Point,1289,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Carneys Point,35,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Carneys Point,20,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Carneys Point,32,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Carneys Point,20,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Carneys Point,4,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Carneys Point,18,,
Write In,U.S. Senate,,,Salem,Carneys Point,1,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Carneys Point,1429,,
Seth Grossman ,U.S. House,2,REP,Salem,Carneys Point,1143,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Carneys Point,24,,
John Ordille,U.S. House,2,LIB,Salem,Carneys Point,14,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Carneys Point,17,,
William R. Benfer,U.S. House,2,Other,Salem,Carneys Point,17,,
Write In,U.S. House,2,,Salem,Carneys Point,4,,
,Registered Voters,,,Salem,Elmer,885,,
,Ballots Cast,,,Salem,Elmer,504,,
Robert Menendez,U.S. Senate,,DEM,Salem,Elmer,152,,
Bob Hugin,U.S. Senate,,REP,Salem,Elmer,322,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Elmer,6,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Elmer,2,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Elmer,2,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Elmer,7,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Elmer,2,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Elmer,5,,
Write In,U.S. Senate,,,Salem,Elmer,0,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Elmer,209,,
Seth Grossman ,U.S. House,2,REP,Salem,Elmer,272,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Elmer,4,,
John Ordille,U.S. House,2,LIB,Salem,Elmer,9,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Elmer,1,,
William R. Benfer,U.S. House,2,Other,Salem,Elmer,0,,
Write In,U.S. House,2,,Salem,Elmer,0,,
,Registered Voters,,,Salem,Eisinboro ,844,,
,Ballots Cast,,,Salem,Eisinboro ,525,,
Robert Menendez,U.S. Senate,,DEM,Salem,Eisinboro ,135,,
Bob Hugin,U.S. Senate,,REP,Salem,Eisinboro ,360,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Eisinboro ,7,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Eisinboro ,2,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Eisinboro ,3,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Eisinboro ,6,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Eisinboro ,1,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Eisinboro ,3,,
Write In,U.S. Senate,,,Salem,Eisinboro ,2,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Eisinboro ,189,,
Seth Grossman ,U.S. House,2,REP,Salem,Eisinboro ,314,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Eisinboro ,3,,
John Ordille,U.S. House,2,LIB,Salem,Eisinboro ,2,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Eisinboro ,2,,
William R. Benfer,U.S. House,2,Other,Salem,Eisinboro ,7,,
Write In,U.S. House,2,,Salem,Eisinboro ,1,,
,Registered Voters,,,Salem,Lower Alloways Creek,1321,,
,Ballots Cast,,,Salem,Lower Alloways Creek,818,,
Robert Menendez,U.S. Senate,,DEM,Salem,Lower Alloways Creek,147,,
Bob Hugin,U.S. Senate,,REP,Salem,Lower Alloways Creek,624,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Lower Alloways Creek,12,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Lower Alloways Creek,2,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Lower Alloways Creek,7,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Lower Alloways Creek,5,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Lower Alloways Creek,0,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Lower Alloways Creek,0,,
Write In,U.S. Senate,,,Salem,Lower Alloways Creek,3,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Lower Alloways Creek,237,,
Seth Grossman ,U.S. House,2,REP,Salem,Lower Alloways Creek,549,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Lower Alloways Creek,2,,
John Ordille,U.S. House,2,LIB,Salem,Lower Alloways Creek,5,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Lower Alloways Creek,2,,
William R. Benfer,U.S. House,2,Other,Salem,Lower Alloways Creek,5,,
Write In,U.S. House,2,,Salem,Lower Alloways Creek,2,,
,Registered Voters,,,Salem,Mannington,1009,,
,Ballots Cast,,,Salem,Mannington,599,,
Robert Menendez,U.S. Senate,,DEM,Salem,Mannington,199,,
Bob Hugin,U.S. Senate,,REP,Salem,Mannington,376,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Mannington,9,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Mannington,0,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Mannington,0,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Mannington,8,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Mannington,0,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Mannington,3,,
Write In,U.S. Senate,,,Salem,Mannington,0,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Mannington,234,,
Seth Grossman ,U.S. House,2,REP,Salem,Mannington,347,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Mannington,3,,
John Ordille,U.S. House,2,LIB,Salem,Mannington,6,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Mannington,2,,
William R. Benfer,U.S. House,2,Other,Salem,Mannington,2,,
Write In,U.S. House,2,,Salem,Mannington,0,,
,Registered Voters,,,Salem,Oldmans,1429,,
,Ballots Cast,,,Salem,Oldmans,821,,
Robert Menendez,U.S. Senate,,DEM,Salem,Oldmans,266,,
Bob Hugin,U.S. Senate,,REP,Salem,Oldmans,490,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Oldmans,8,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Oldmans,6,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Oldmans,9,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Oldmans,5,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Oldmans,2,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Oldmans,5,,
Write In,U.S. Senate,,,Salem,Oldmans,3,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Oldmans,353,,
Seth Grossman ,U.S. House,2,REP,Salem,Oldmans,432,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Oldmans,10,,
John Ordille,U.S. House,2,LIB,Salem,Oldmans,5,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Oldmans,7,,
William R. Benfer,U.S. House,2,Other,Salem,Oldmans,1,,
Write In,U.S. House,2,,Salem,Oldmans,0,,
,Registered Voters,,,Salem,Penns Grove ,2775,,
,Ballots Cast,,,Salem,Penns Grove ,917,,
Robert Menendez,U.S. Senate,,DEM,Salem,Penns Grove ,624,,
Bob Hugin,U.S. Senate,,REP,Salem,Penns Grove ,234,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Penns Grove ,10,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Penns Grove ,3,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Penns Grove ,11,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Penns Grove ,6,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Penns Grove ,2,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Penns Grove ,6,,
Write In,U.S. Senate,,,Salem,Penns Grove ,2,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Penns Grove ,670,,
Seth Grossman ,U.S. House,2,REP,Salem,Penns Grove ,204,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Penns Grove ,4,,
John Ordille,U.S. House,2,LIB,Salem,Penns Grove ,6,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Penns Grove ,9,,
William R. Benfer,U.S. House,2,Other,Salem,Penns Grove ,4,,
Write In,U.S. House,2,,Salem,Penns Grove ,2,,
,Registered Voters,,,Salem,Pennsville,9234,,
,Ballots Cast,,,Salem,Pennsville,5035,,
Robert Menendez,U.S. Senate,,DEM,Salem,Pennsville,1559,,
Bob Hugin,U.S. Senate,,REP,Salem,Pennsville,3157,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Pennsville,78,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Pennsville,23,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Pennsville,55,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Pennsville,54,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Pennsville,11,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Pennsville,28,,
Write In,U.S. Senate,,,Salem,Pennsville,15,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Pennsville,1982,,
Seth Grossman ,U.S. House,2,REP,Salem,Pennsville,2794,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Pennsville,31,,
John Ordille,U.S. House,2,LIB,Salem,Pennsville,66,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Pennsville,25,,
William R. Benfer,U.S. House,2,Other,Salem,Pennsville,48,,
Write In,U.S. House,2,,Salem,Pennsville,10,,
,Registered Voters,,,Salem,Pilesgrove,3116,,
,Ballots Cast,,,Salem,Pilesgrove,1930,,
Robert Menendez,U.S. Senate,,DEM,Salem,Pilesgrove,666,,
Bob Hugin,U.S. Senate,,REP,Salem,Pilesgrove,1161,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Pilesgrove,24,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Pilesgrove,10,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Pilesgrove,12,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Pilesgrove,21,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Pilesgrove,3,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Pilesgrove,10,,
Write In,U.S. Senate,,,Salem,Pilesgrove,2,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Pilesgrove,801,,
Seth Grossman ,U.S. House,2,REP,Salem,Pilesgrove,1045,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Pilesgrove,16,,
John Ordille,U.S. House,2,LIB,Salem,Pilesgrove,18,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Pilesgrove,11,,
William R. Benfer,U.S. House,2,Other,Salem,Pilesgrove,17,,
Write In,U.S. House,2,,Salem,Pilesgrove,1,,
,Registered Voters,,,Salem,Pittsgrove,6412,,
,Ballots Cast,,,Salem,Pittsgrove,3501,,
Robert Menendez,U.S. Senate,,DEM,Salem,Pittsgrove,1300,,
Bob Hugin,U.S. Senate,,REP,Salem,Pittsgrove,2002,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Pittsgrove,64,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Pittsgrove,17,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Pittsgrove,24,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Pittsgrove,30,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Pittsgrove,8,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Pittsgrove,17,,
Write In,U.S. Senate,,,Salem,Pittsgrove,10,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Pittsgrove,1640,,
Seth Grossman ,U.S. House,2,REP,Salem,Pittsgrove,1755,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Pittsgrove,16,,
John Ordille,U.S. House,2,LIB,Salem,Pittsgrove,30,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Pittsgrove,12,,
William R. Benfer,U.S. House,2,Other,Salem,Pittsgrove,14,,
Write In,U.S. House,2,,Salem,Pittsgrove,3,,
,Registered Voters,,,Salem,Quinton,1763,,
,Ballots Cast,,,Salem,Quinton,996,,
Robert Menendez,U.S. Senate,,DEM,Salem,Quinton,328,,
Bob Hugin,U.S. Senate,,REP,Salem,Quinton,616,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Quinton,9,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Quinton,3,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Quinton,7,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Quinton,11,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Quinton,2,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Quinton,4,,
Write In,U.S. Senate,,,Salem,Quinton,1,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Quinton,395,,
Seth Grossman ,U.S. House,2,REP,Salem,Quinton,545,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Quinton,6,,
John Ordille,U.S. House,2,LIB,Salem,Quinton,9,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Quinton,10,,
William R. Benfer,U.S. House,2,Other,Salem,Quinton,14,,
Write In,U.S. House,2,,Salem,Quinton,0,,
,Registered Voters,,,Salem,Salem East Ward,1716,,
,Ballots Cast,,,Salem,Salem East Ward,679,,
Robert Menendez,U.S. Senate,,DEM,Salem,Salem East Ward,493,,
Bob Hugin,U.S. Senate,,REP,Salem,Salem East Ward,136,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Salem East Ward,14,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Salem East Ward,2,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Salem East Ward,14,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Salem East Ward,2,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Salem East Ward,1,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Salem East Ward,3,,
Write In,U.S. Senate,,,Salem,Salem East Ward,0,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Salem East Ward,530,,
Seth Grossman ,U.S. House,2,REP,Salem,Salem East Ward,103,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Salem East Ward,5,,
John Ordille,U.S. House,2,LIB,Salem,Salem East Ward,2,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Salem East Ward,14,,
William R. Benfer,U.S. House,2,Other,Salem,Salem East Ward,8,,
Write In,U.S. House,2,,Salem,Salem East Ward,0,,
,Registered Voters,,,Salem,Salem West Ward,1406,,
,Ballots Cast,,,Salem,Salem West Ward,570,,
Robert Menendez,U.S. Senate,,DEM,Salem,Salem West Ward,391,,
Bob Hugin,U.S. Senate,,REP,Salem,Salem West Ward,120,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Salem West Ward,6,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Salem West Ward,4,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Salem West Ward,12,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Salem West Ward,5,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Salem West Ward,0,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Salem West Ward,6,,
Write In,U.S. Senate,,,Salem,Salem West Ward,3,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Salem West Ward,427,,
Seth Grossman ,U.S. House,2,REP,Salem,Salem West Ward,96,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Salem West Ward,2,,
John Ordille,U.S. House,2,LIB,Salem,Salem West Ward,9,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Salem West Ward,7,,
William R. Benfer,U.S. House,2,Other,Salem,Salem West Ward,6,,
Write In,U.S. House,2,,Salem,Salem West Ward,1,,
,Registered Voters,,,Salem,Upper Pittsgrove ,2479,,
,Ballots Cast,,,Salem,Upper Pittsgrove ,1455,,
Robert Menendez,U.S. Senate,,DEM,Salem,Upper Pittsgrove ,352,,
Bob Hugin,U.S. Senate,,REP,Salem,Upper Pittsgrove ,1043,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Upper Pittsgrove ,17,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Upper Pittsgrove ,5,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Upper Pittsgrove ,8,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Upper Pittsgrove ,9,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Upper Pittsgrove ,4,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Upper Pittsgrove ,7,,
Write In,U.S. Senate,,,Salem,Upper Pittsgrove ,1,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Upper Pittsgrove ,443,,
Seth Grossman ,U.S. House,2,REP,Salem,Upper Pittsgrove ,955,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Upper Pittsgrove ,6,,
John Ordille,U.S. House,2,LIB,Salem,Upper Pittsgrove ,14,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Upper Pittsgrove ,5,,
William R. Benfer,U.S. House,2,Other,Salem,Upper Pittsgrove ,13,,
Write In,U.S. House,2,,Salem,Upper Pittsgrove ,2,,
,Registered Voters,,,Salem,Woodstown,2583,,
,Ballots Cast,,,Salem,Woodstown,1555,,
Robert Menendez,U.S. Senate,,DEM,Salem,Woodstown,712,,
Bob Hugin,U.S. Senate,,REP,Salem,Woodstown,750,,
Madelyn R Hoffman,U.S. Senate,,Green ,Salem,Woodstown,29,,
Kevin Kimple,U.S. Senate,,Make It Simple,Salem,Woodstown,9,,
Natalie Lynn Rivera,U.S. Senate,,For the People,Salem,Woodstown,12,,
Murray Sabrin,U.S. Senate,,LIB,Salem,Woodstown,11,,
Hank Schroeder,U.S. Senate,,Economic Growth ,Salem,Woodstown,4,,
Tricia Flanagan,U.S. Senate,,New Day NJ,Salem,Woodstown,2,,
Write In,U.S. Senate,,,Salem,Woodstown,10,,
Jeff Van Drew,U.S. House,2,DEM,Salem,Woodstown,861,,
Seth Grossman ,U.S. House,2,REP,Salem,Woodstown,633,,
Steven Fenichel ,U.S. House,2,Time for Truth,Salem,Woodstown,6,,
John Ordille,U.S. House,2,LIB,Salem,Woodstown,10,,
Anthony Parisi Sanchez,U.S. House,2,Cannot be Bought ,Salem,Woodstown,10,,
William R. Benfer,U.S. House,2,Other,Salem,Woodstown,11,,
Write In,U.S. House,2,,Salem,Woodstown,3,,