county,precinct,office,district,party,candidate,votes,hand_counted,mail,provisional
Atlantic,Absecon 1,President,,DEM,Joe Biden,1360,6,1300,54
Atlantic,Absecon 2,President,,DEM,Joe Biden,1236,6,1150,80
Atlantic,Absecon 1,President,,REP,Donald Trump,1532,5,1483,44
Atlantic,Absecon 2,President,,REP,Donald Trump,1143,4,1073,66
Atlantic,Absecon 1,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Absecon 2,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Absecon 1,President,,UNITY,Bill Hammons,6,0,6,0
Atlantic,Absecon 2,President,,UNITY,Bill Hammons,0,0,0,0
Atlantic,Absecon 1,President,,LIB,Jo Jorgensen,21,0,19,2
Atlantic,Absecon 2,President,,LIB,Jo Jorgensen,13,0,13,0
Atlantic,Absecon 1,President,,AP,Rocky de la Fuente Guerra,1,0,1,0
Atlantic,Absecon 2,President,,AP,Rocky de la Fuente Guerra,0,0,0,0
Atlantic,Absecon 1,President,,CON,Don Blankenship,4,0,2,2
Atlantic,Absecon 2,President,,CON,Don Blankenship,5,0,4,1
Atlantic,Absecon 1,President,,GRN,Howie Hawkins,8,0,8,0
Atlantic,Absecon 2,President,,GRN,Howie Hawkins,9,0,8,1
Atlantic,Absecon 1,U.S. Senate,,REP,Rik Mehta,1468,3,1423,42
Atlantic,Absecon 2,U.S. Senate,,REP,Rik Mehta,1098,3,1035,60
Atlantic,Absecon 1,U.S. Senate,,DEM,Cory Booker,1365,6,1303,56
Atlantic,Absecon 2,U.S. Senate,,DEM,Cory Booker,1210,6,1131,73
Atlantic,Absecon 1,U.S. Senate,,OBF,Veronica Fernandez,30,1,29,0
Atlantic,Absecon 2,U.S. Senate,,OBF,Veronica Fernandez,11,1,10,0
Atlantic,Absecon 1,U.S. Senate,,LWR,Daniel Burke,7,0,7,0
Atlantic,Absecon 2,U.S. Senate,,LWR,Daniel Burke,10,0,10,0
Atlantic,Absecon 1,U.S. Senate,,GRN,Madelyn Hoffman,8,0,8,0
Atlantic,Absecon 2,U.S. Senate,,GRN,Madelyn Hoffman,5,0,5,0
Atlantic,Absecon 1,U.S. House,02,REP,Jeff Van Drew,1522,4,1474,44
Atlantic,Absecon 2,U.S. House,02,REP,Jeff Van Drew,1136,4,1065,67
Atlantic,Absecon 1,U.S. House,02,DEM,Amy Kennedy,1347,6,1288,53
Atlantic,Absecon 2,U.S. House,02,DEM,Amy Kennedy,1193,5,1118,70
Atlantic,Absecon 1,U.S. House,02,JMH,Jenna Harvey,26,0,23,3
Atlantic,Absecon 2,U.S. House,02,JMH,Jenna Harvey,10,0,9,1
Atlantic,Absecon 1,U.S. House,02,LIB,Jesse Ehrnstrom,6,0,5,1
Atlantic,Absecon 2,U.S. House,02,LIB,Jesse Ehrnstrom,10,0,9,1
Atlantic,Atlantic City 1,President,,DEM,Joe Biden,2543,18,2218,307
Atlantic,Atlantic City 2,President,,DEM,Joe Biden,336,3,298,35
Atlantic,Atlantic City 1,President,,REP,Donald Trump,8160,70,7314,776
Atlantic,Atlantic City 2,President,,REP,Donald Trump,1822,4,1666,152
Atlantic,Atlantic City 1,President,,SAL,Gloria La Riva,22,0,18,4
Atlantic,Atlantic City 2,President,,SAL,Gloria La Riva,5,0,5,0
Atlantic,Atlantic City 1,President,,UNITY,Bill Hammons,4,0,4,0
Atlantic,Atlantic City 2,President,,UNITY,Bill Hammons,1,0,1,0
Atlantic,Atlantic City 1,President,,LIB,Jo Jorgensen,34,1,33,0
Atlantic,Atlantic City 2,President,,LIB,Jo Jorgensen,4,0,4,0
Atlantic,Atlantic City 1,President,,AP,Rocky de la Fuente Guerra,3,0,3,0
Atlantic,Atlantic City 2,President,,AP,Rocky de la Fuente Guerra,0,0,0,0
Atlantic,Atlantic City 1,President,,CON,Don Blankenship,3,0,3,0
Atlantic,Atlantic City 2,President,,CON,Don Blankenship,1,0,1,0
Atlantic,Atlantic City 1,President,,GRN,Howie Hawkins,24,0,22,2
Atlantic,Atlantic City 2,President,,GRN,Howie Hawkins,4,0,3,1
Atlantic,Atlantic City 1,U.S. Senate,,REP,Rik Mehta,2162,13,1920,229
Atlantic,Atlantic City 2,U.S. Senate,,REP,Rik Mehta,276,3,257,16
Atlantic,Atlantic City 1,U.S. Senate,,DEM,Cory Booker,7948,70,7158,720
Atlantic,Atlantic City 2,U.S. Senate,,DEM,Cory Booker,1679,2,1536,141
Atlantic,Atlantic City 1,U.S. Senate,,OBF,Veronica Fernandez,145,1,117,27
Atlantic,Atlantic City 2,U.S. Senate,,OBF,Veronica Fernandez,46,0,37,9
Atlantic,Atlantic City 1,U.S. Senate,,LWR,Daniel Burke,29,0,24,5
Atlantic,Atlantic City 2,U.S. Senate,,LWR,Daniel Burke,5,0,4,1
Atlantic,Atlantic City 1,U.S. Senate,,GRN,Madelyn Hoffman,42,0,39,3
Atlantic,Atlantic City 2,U.S. Senate,,GRN,Madelyn Hoffman,5,0,4,1
Atlantic,Atlantic City 1,U.S. House,02,REP,Jeff Van Drew,2840,19,2551,270
Atlantic,Atlantic City 2,U.S. House,02,REP,Jeff Van Drew,518,2,482,34
Atlantic,Atlantic City 1,U.S. House,02,DEM,Amy Kennedy,7351,62,6572,717
Atlantic,Atlantic City 2,U.S. House,02,DEM,Amy Kennedy,1440,3,1303,134
Atlantic,Atlantic City 1,U.S. House,02,JMH,Jenna Harvey,117,0,105,12
Atlantic,Atlantic City 2,U.S. House,02,JMH,Jenna Harvey,31,0,30,1
Atlantic,Atlantic City 1,U.S. House,02,LIB,Jesse Ehrnstrom,41,2,34,5
Atlantic,Atlantic City 2,U.S. House,02,LIB,Jesse Ehrnstrom,3,0,3,0
Atlantic,Brigantine 1,President,,DEM,Joe Biden,959,3,928,28
Atlantic,Brigantine 2,President,,DEM,Joe Biden,717,2,682,33
Atlantic,Brigantine 3,President,,DEM,Joe Biden,724,3,687,34
Atlantic,Brigantine 4,President,,DEM,Joe Biden,622,2,580,40
Atlantic,Brigantine 1,President,,REP,Donald Trump,545,1,525,19
Atlantic,Brigantine 2,President,,REP,Donald Trump,487,1,475,11
Atlantic,Brigantine 3,President,,REP,Donald Trump,576,1,543,32
Atlantic,Brigantine 4,President,,REP,Donald Trump,577,1,540,36
Atlantic,Brigantine 1,President,,SAL,Gloria La Riva,,0,0,0
Atlantic,Brigantine 2,President,,SAL,Gloria La Riva,,0,0,0
Atlantic,Brigantine 3,President,,SAL,Gloria La Riva,,0,1,0
Atlantic,Brigantine 4,President,,SAL,Gloria La Riva,,0,1,0
Atlantic,Brigantine 1,President,,UNITY,Bill Hammons,,0,1,0
Atlantic,Brigantine 2,President,,UNITY,Bill Hammons,,0,0,0
Atlantic,Brigantine 3,President,,UNITY,Bill Hammons,,0,1,0
Atlantic,Brigantine 4,President,,UNITY,Bill Hammons,,0,1,0
Atlantic,Brigantine 1,President,,LIB,Jo Jorgensen,,0,12,2
Atlantic,Brigantine 2,President,,LIB,Jo Jorgensen,,0,6,2
Atlantic,Brigantine 3,President,,LIB,Jo Jorgensen,,0,5,0
Atlantic,Brigantine 4,President,,LIB,Jo Jorgensen,,0,4,0
Atlantic,Brigantine 1,President,,AP,Rocky de la Fuente Guerra,,0,3,0
Atlantic,Brigantine 2,President,,AP,Rocky de la Fuente Guerra,,0,0,0
Atlantic,Brigantine 3,President,,AP,Rocky de la Fuente Guerra,,0,0,0
Atlantic,Brigantine 4,President,,AP,Rocky de la Fuente Guerra,,0,0,0
Atlantic,Brigantine 1,President,,CON,Don Blankenship,,0,0,0
Atlantic,Brigantine 2,President,,CON,Don Blankenship,,0,0,0
Atlantic,Brigantine 3,President,,CON,Don Blankenship,,0,0,0
Atlantic,Brigantine 4,President,,CON,Don Blankenship,,0,1,0
Atlantic,Brigantine 1,President,,GRN,Howie Hawkins,,0,5,0
Atlantic,Brigantine 2,President,,GRN,Howie Hawkins,,0,4,0
Atlantic,Brigantine 3,President,,GRN,Howie Hawkins,,0,3,0
Atlantic,Brigantine 4,President,,GRN,Howie Hawkins,,0,2,0
Atlantic,Brigantine 1,U.S. Senate,,REP,Rik Mehta,,2,937,25
Atlantic,Brigantine 2,U.S. Senate,,REP,Rik Mehta,,2,678,34
Atlantic,Brigantine 3,U.S. Senate,,REP,Rik Mehta,,2,679,34
Atlantic,Brigantine 4,U.S. Senate,,REP,Rik Mehta,,1,545,33
Atlantic,Brigantine 1,U.S. Senate,,DEM,Cory Booker,,1,498,20
Atlantic,Brigantine 2,U.S. Senate,,DEM,Cory Booker,,1,441,10
Atlantic,Brigantine 3,U.S. Senate,,DEM,Cory Booker,,2,519,26
Atlantic,Brigantine 4,U.S. Senate,,DEM,Cory Booker,,2,545,33
Atlantic,Brigantine 1,U.S. Senate,,OBF,Veronica Fernandez,,0,9,0
Atlantic,Brigantine 2,U.S. Senate,,OBF,Veronica Fernandez,,0,5,0
Atlantic,Brigantine 3,U.S. Senate,,OBF,Veronica Fernandez,,0,8,0
Atlantic,Brigantine 4,U.S. Senate,,OBF,Veronica Fernandez,,0,8,3
Atlantic,Brigantine 1,U.S. Senate,,LWR,Daniel Burke,,0,2,0
Atlantic,Brigantine 2,U.S. Senate,,LWR,Daniel Burke,,0,5,0
Atlantic,Brigantine 3,U.S. Senate,,LWR,Daniel Burke,,0,4,1
Atlantic,Brigantine 4,U.S. Senate,,LWR,Daniel Burke,,0,4,0
Atlantic,Brigantine 1,U.S. Senate,,GRN,Madelyn Hoffman,,0,3,0
Atlantic,Brigantine 2,U.S. Senate,,GRN,Madelyn Hoffman,,0,7,0
Atlantic,Brigantine 3,U.S. Senate,,GRN,Madelyn Hoffman,,0,1,1
Atlantic,Brigantine 4,U.S. Senate,,GRN,Madelyn Hoffman,,0,3,0
Atlantic,Brigantine 1,U.S. House,02,REP,Jeff Van Drew,,2,918,26
Atlantic,Brigantine 2,U.S. House,02,REP,Jeff Van Drew,,2,701,29
Atlantic,Brigantine 3,U.S. House,02,REP,Jeff Van Drew,,2,686,31
Atlantic,Brigantine 4,U.S. House,02,REP,Jeff Van Drew,,2,562,36
Atlantic,Brigantine 1,U.S. House,02,DEM,Amy Kennedy,,1,542,19
Atlantic,Brigantine 2,U.S. House,02,DEM,Amy Kennedy,,1,447,9
Atlantic,Brigantine 3,U.S. House,02,DEM,Amy Kennedy,,1,543,30
Atlantic,Brigantine 4,U.S. House,02,DEM,Amy Kennedy,,1,550,39
Atlantic,Brigantine 1,U.S. House,02,JMH,Jenna Harvey,,1,8,0
Atlantic,Brigantine 2,U.S. House,02,JMH,Jenna Harvey,,0,4,0
Atlantic,Brigantine 3,U.S. House,02,JMH,Jenna Harvey,,0,6,2
Atlantic,Brigantine 4,U.S. House,02,JMH,Jenna Harvey,,0,5,1
Atlantic,Brigantine 1,U.S. House,02,LIB,Jesse Ehrnstrom,,0,5,0
Atlantic,Brigantine 2,U.S. House,02,LIB,Jesse Ehrnstrom,,0,4,1
Atlantic,Brigantine 3,U.S. House,02,LIB,Jesse Ehrnstrom,,0,3,3
Atlantic,Brigantine 4,U.S. House,02,LIB,Jesse Ehrnstrom,,0,2,0
Atlantic,Buena Borough,President,,DEM,Joe Biden,964,1,893,70
Atlantic,Buena Vista Twp,President,,DEM,Joe Biden,1711,2,1626,83
Atlantic,Buena Borough,President,,REP,Donald Trump,1140,1,1074,65
Atlantic,Buena Vista Twp,President,,REP,Donald Trump,2341,1,2240,100
Atlantic,Buena Borough,President,,SAL,Gloria La Riva,4,0,4,0
Atlantic,Buena Vista Twp,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Buena Borough,President,,UNITY,Bill Hammons,3,0,3,0
Atlantic,Buena Vista Twp,President,,UNITY,Bill Hammons,3,0,2,1
Atlantic,Buena Borough,President,,LIB,Jo Jorgensen,15,0,13,2
Atlantic,Buena Vista Twp,President,,LIB,Jo Jorgensen,28,0,27,1
Atlantic,Buena Borough,President,,AP,Rocky de la Fuente Guerra,3,0,3,0
Atlantic,Buena Vista Twp,President,,AP,Rocky de la Fuente Guerra,2,0,2,0
Atlantic,Buena Borough,President,,CON,Don Blankenship,0,0,0,0
Atlantic,Buena Vista Twp,President,,CON,Don Blankenship,5,0,4,1
Atlantic,Buena Borough,President,,GRN,Howie Hawkins,8,0,8,0
Atlantic,Buena Vista Twp,President,,GRN,Howie Hawkins,12,0,12,0
Atlantic,Buena Borough,U.S. Senate,,REP,Rik Mehta,1057,1,1004,52
Atlantic,Buena Vista Twp,U.S. Senate,,REP,Rik Mehta,2206,1,2110,95
Atlantic,Buena Borough,U.S. Senate,,DEM,Cory Booker,950,1,883,66
Atlantic,Buena Vista Twp,U.S. Senate,,DEM,Cory Booker,1698,2,1618,78
Atlantic,Buena Borough,U.S. Senate,,OBF,Veronica Fernandez,31,0,27,4
Atlantic,Buena Vista Twp,U.S. Senate,,OBF,Veronica Fernandez,40,0,38,2
Atlantic,Buena Borough,U.S. Senate,,LWR,Daniel Burke,4,0,4,0
Atlantic,Buena Vista Twp,U.S. Senate,,LWR,Daniel Burke,24,0,22,2
Atlantic,Buena Borough,U.S. Senate,,GRN,Madelyn Hoffman,14,0,13,1
Atlantic,Buena Vista Twp,U.S. Senate,,GRN,Madelyn Hoffman,9,0,9,0
Atlantic,Buena Borough,U.S. House,02,REP,Jeff Van Drew,1143,1,1085,57
Atlantic,Buena Vista Twp,U.S. House,02,REP,Jeff Van Drew,2284,2,2177,105
Atlantic,Buena Borough,U.S. House,02,DEM,Amy Kennedy,911,1,842,68
Atlantic,Buena Vista Twp,U.S. House,02,DEM,Amy Kennedy,1672,1,1595,76
Atlantic,Buena Borough,U.S. House,02,JMH,Jenna Harvey,26,0,25,1
Atlantic,Buena Vista Twp,U.S. House,02,JMH,Jenna Harvey,39,0,39,0
Atlantic,Buena Borough,U.S. House,02,LIB,Jesse Ehrnstrom,7,0,6,1
Atlantic,Buena Vista Twp,U.S. House,02,LIB,Jesse Ehrnstrom,34,0,31,3
Atlantic,Corbin City,President,,DEM,Joe Biden,109,0,101,8
Atlantic,Estell Manor,President,,DEM,Joe Biden,337,1,326,11
Atlantic,Corbin City,President,,REP,Donald Trump,215,6,200,15
Atlantic,Estell Manor,President,,REP,Donald Trump,793,0,776,17
Atlantic,Corbin City,President,,SAL,Gloria La Riva,0,0,0,0
Atlantic,Estell Manor,President,,SAL,Gloria La Riva,0,0,0,0
Atlantic,Corbin City,President,,UNITY,Bill Hammons,1,0,1,0
Atlantic,Estell Manor,President,,UNITY,Bill Hammons,0,0,0,0
Atlantic,Corbin City,President,,LIB,Jo Jorgensen,1,0,1,0
Atlantic,Estell Manor,President,,LIB,Jo Jorgensen,8,0,7,1
Atlantic,Corbin City,President,,AP,Rocky de la Fuente Guerra,0,0,0,0
Atlantic,Estell Manor,President,,AP,Rocky de la Fuente Guerra,3,0,3,0
Atlantic,Corbin City,President,,CON,Don Blankenship,0,0,0,0
Atlantic,Estell Manor,President,,CON,Don Blankenship,1,0,1,0
Atlantic,Corbin City,President,,GRN,Howie Hawkins,1,0,1,0
Atlantic,Estell Manor,President,,GRN,Howie Hawkins,3,0,3,0
Atlantic,Corbin City,U.S. Senate,,REP,Rik Mehta,217,1,201,13
Atlantic,Estell Manor,U.S. Senate,,REP,Rik Mehta,769,6,747,16
Atlantic,Corbin City,U.S. Senate,,DEM,Cory Booker,103,0,96,7
Atlantic,Estell Manor,U.S. Senate,,DEM,Cory Booker,331,0,321,10
Atlantic,Corbin City,U.S. Senate,,OBF,Veronica Fernandez,3,0,2,1
Atlantic,Estell Manor,U.S. Senate,,OBF,Veronica Fernandez,8,0,8,0
Atlantic,Corbin City,U.S. Senate,,LWR,Daniel Burke,1,0,1,0
Atlantic,Estell Manor,U.S. Senate,,LWR,Daniel Burke,1,0,1,0
Atlantic,Corbin City,U.S. Senate,,GRN,Madelyn Hoffman,1,0,1,0
Atlantic,Estell Manor,U.S. Senate,,GRN,Madelyn Hoffman,3,0,3,0
Atlantic,Corbin City,U.S. House,02,REP,Jeff Van Drew,219,1,205,13
Atlantic,Estell Manor,U.S. House,02,REP,Jeff Van Drew,805,6,780,19
Atlantic,Corbin City,U.S. House,02,DEM,Amy Kennedy,104,0,97,7
Atlantic,Estell Manor,U.S. House,02,DEM,Amy Kennedy,309,0,300,9
Atlantic,Corbin City,U.S. House,02,JMH,Jenna Harvey,1,0,1,0
Atlantic,Estell Manor,U.S. House,02,JMH,Jenna Harvey,8,0,8,0
Atlantic,Corbin City,U.S. House,02,LIB,Jesse Ehrnstrom,1,0,1,0
Atlantic,Estell Manor,U.S. House,02,LIB,Jesse Ehrnstrom,11,0,11,0
Atlantic,Egg Harbor City,President,,DEM,Joe Biden,1138,3,1053,82
Atlantic,Egg Harbor twp,President,,DEM,Joe Biden,12986,30,12240,716
Atlantic,Egg Harbor City,President,,REP,Donald Trump,851,4,796,51
Atlantic,Egg Harbor twp,President,,REP,Donald Trump,11995,27,11423,545
Atlantic,Egg Harbor City,President,,SAL,Gloria La Riva,1,0,0,1
Atlantic,Egg Harbor twp,President,,SAL,Gloria La Riva,40,1,34,5
Atlantic,Egg Harbor City,President,,UNITY,Bill Hammons,1,0,1,0
Atlantic,Egg Harbor twp,President,,UNITY,Bill Hammons,23,0,23,0
Atlantic,Egg Harbor City,President,,LIB,Jo Jorgensen,19,0,15,4
Atlantic,Egg Harbor twp,President,,LIB,Jo Jorgensen,188,0,176,12
Atlantic,Egg Harbor City,President,,AP,Rocky de la Fuente Guerra,1,0,1,0
Atlantic,Egg Harbor twp,President,,AP,Rocky de la Fuente Guerra,14,0,13,1
Atlantic,Egg Harbor City,President,,CON,Don Blankenship,4,0,4,0
Atlantic,Egg Harbor twp,President,,CON,Don Blankenship,25,0,23,2
Atlantic,Egg Harbor City,President,,GRN,Howie Hawkins,3,0,3,0
Atlantic,Egg Harbor twp,President,,GRN,Howie Hawkins,71,0,67,4
Atlantic,Egg Harbor City,U.S. Senate,,REP,Rik Mehta,786,4,742,40
Atlantic,Egg Harbor twp,U.S. Senate,,REP,Rik Mehta,11533,24,11025,484
Atlantic,Egg Harbor City,U.S. Senate,,DEM,Cory Booker,1101,2,1016,83
Atlantic,Egg Harbor twp,U.S. Senate,,DEM,Cory Booker,12588,26,11869,690
Atlantic,Egg Harbor City,U.S. Senate,,OBF,Veronica Fernandez,38,1,32,5
Atlantic,Egg Harbor twp,U.S. Senate,,OBF,Veronica Fernandez,295,2,267,26
Atlantic,Egg Harbor City,U.S. Senate,,LWR,Daniel Burke,8,0,7,1
Atlantic,Egg Harbor twp,U.S. Senate,,LWR,Daniel Burke,73,0,69,4
Atlantic,Egg Harbor City,U.S. Senate,,GRN,Madelyn Hoffman,12,0,11,1
Atlantic,Egg Harbor twp,U.S. Senate,,GRN,Madelyn Hoffman,97,0,96,1
Atlantic,Egg Harbor City,U.S. House,02,REP,Jeff Van Drew,824,5,772,47
Atlantic,Egg Harbor twp,U.S. House,02,REP,Jeff Van Drew,12077,24,11540,513
Atlantic,Egg Harbor City,U.S. House,02,DEM,Amy Kennedy,1107,2,1025,80
Atlantic,Egg Harbor twp,U.S. House,02,DEM,Amy Kennedy,12341,23,11637,681
Atlantic,Egg Harbor City,U.S. House,02,JMH,Jenna Harvey,24,0,23,1
Atlantic,Egg Harbor twp,U.S. House,02,JMH,Jenna Harvey,255,2,241,12
Atlantic,Egg Harbor City,U.S. House,02,LIB,Jesse Ehrnstrom,21,0,18,3
Atlantic,Egg Harbor twp,U.S. House,02,LIB,Jesse Ehrnstrom,140,1,132,7
Atlantic,Folsom,President,,DEM,Joe Biden,380,2,366,12
Atlantic,Galloway Twp,President,,DEM,Joe Biden,10143,8,9561,574
Atlantic,Folsom,President,,REP,Donald Trump,672,2,646,24
Atlantic,Galloway Twp,President,,REP,Donald Trump,9665,15,9197,453
Atlantic,Folsom,President,,SAL,Gloria La Riva,2,0,2,0
Atlantic,Galloway Twp,President,,SAL,Gloria La Riva,22,0,20,2
Atlantic,Folsom,President,,UNITY,Bill Hammons,2,0,2,0
Atlantic,Galloway Twp,President,,UNITY,Bill Hammons,16,0,15,1
Atlantic,Folsom,President,,LIB,Jo Jorgensen,18,0,18,0
Atlantic,Galloway Twp,President,,LIB,Jo Jorgensen,166,0,160,6
Atlantic,Folsom,President,,AP,Rocky de la Fuente Guerra,2,0,2,0
Atlantic,Galloway Twp,President,,AP,Rocky de la Fuente Guerra,12,0,10,2
Atlantic,Folsom,President,,CON,Don Blankenship,0,0,0,0
Atlantic,Galloway Twp,President,,CON,Don Blankenship,16,0,16,0
Atlantic,Folsom,President,,GRN,Howie Hawkins,0,0,0,0
Atlantic,Galloway Twp,President,,GRN,Howie Hawkins,54,0,50,4
Atlantic,Folsom,U.S. Senate,,REP,Rik Mehta,649,2,629,18
Atlantic,Galloway Twp,U.S. Senate,,REP,Rik Mehta,9308,10,8908,390
Atlantic,Folsom,U.S. Senate,,DEM,Cory Booker,367,2,352,13
Atlantic,Galloway Twp,U.S. Senate,,DEM,Cory Booker,9892,11,9317,564
Atlantic,Folsom,U.S. Senate,,OBF,Veronica Fernandez,10,0,10,0
Atlantic,Galloway Twp,U.S. Senate,,OBF,Veronica Fernandez,244,0,210,34
Atlantic,Folsom,U.S. Senate,,LWR,Daniel Burke,10,0,9,1
Atlantic,Galloway Twp,U.S. Senate,,LWR,Daniel Burke,66,0,59,7
Atlantic,Folsom,U.S. Senate,,GRN,Madelyn Hoffman,7,0,7,0
Atlantic,Galloway Twp,U.S. Senate,,GRN,Madelyn Hoffman,92,0,86,6
Atlantic,Folsom,U.S. House,02,REP,Jeff Van Drew,661,2,638,21
Atlantic,Galloway Twp,U.S. House,02,REP,Jeff Van Drew,9538,13,9117,408
Atlantic,Folsom,U.S. House,02,DEM,Amy Kennedy,364,2,350,12
Atlantic,Galloway Twp,U.S. House,02,DEM,Amy Kennedy,9861,8,9289,564
Atlantic,Folsom,U.S. House,02,JMH,Jenna Harvey,13,0,13,0
Atlantic,Galloway Twp,U.S. House,02,JMH,Jenna Harvey,190,0,168,22
Atlantic,Folsom,U.S. House,02,LIB,Jesse Ehrnstrom,12,0,12,0
Atlantic,Galloway Twp,U.S. House,02,LIB,Jesse Ehrnstrom,134,0,126,8
Atlantic,Hamilton Twp,President,,DEM,Joe Biden,7947,18,7393,436
Atlantic,Hammonton,President,,DEM,Joe Biden,2957,1,2837,119
Atlantic,Hamilton Twp,President,,REP,Donald Trump,6567,14,6313,240
Atlantic,Hammonton,President,,REP,Donald Trump,4560,4,4423,133
Atlantic,Hamilton Twp,President,,SAL,Gloria La Riva,25,0,19,6
Atlantic,Hammonton,President,,SAL,Gloria La Riva,13,0,13,0
Atlantic,Hamilton Twp,President,,UNITY,Bill Hammons,12,0,12,0
Atlantic,Hammonton,President,,UNITY,Bill Hammons,8,0,8,0
Atlantic,Hamilton Twp,President,,LIB,Jo Jorgensen,131,0,126,5
Atlantic,Hammonton,President,,LIB,Jo Jorgensen,53,0,49,4
Atlantic,Hamilton Twp,President,,AP,Rocky de la Fuente Guerra,5,0,5,0
Atlantic,Hammonton,President,,AP,Rocky de la Fuente Guerra,4,0,4,0
Atlantic,Hamilton Twp,President,,CON,Don Blankenship,9,0,9,0
Atlantic,Hammonton,President,,CON,Don Blankenship,7,0,7,0
Atlantic,Hamilton Twp,President,,GRN,Howie Hawkins,47,0,44,3
